Sigla,Nome Completo,Tipo de serviço,Estado Operacional,Dados em Tempo Real (Operacional),Dados abertos,Comentário disponibilidade de dados,API,Comentário API ,Tipo de Interface,Tipo de Acesso,Descrição da Base de Dados,Tipo de Dados Oceanográficos,Exemplos de dados disponíveis,Instituição responsável pela base de dados,Cobertura Dados,Detalhe cobertura ,País,Link,Observações,Protocolos de Interoperabilidade,Contato responsável pelos dados,Tipo de licença de uso
Seabird Tracking Database,Seabird Tracking Database,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,Banco de dados global de rastreamento de aves marinhas; usuários podem navegar e solicitar dados.,Biológica,"Trajetórias de aves marinhas, dados de rastreamento",BirdLife International,Global,,Internacional,Home - Seabird Tracking Database,,,,
SeaDataNet,SeaDataNet,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API",Infraestrutura europeia para harmonização e acesso a grandes volumes de dados marinhos de diversas disciplinas.,"Física, Geológica, Química, Biológica","Temperatura, Salinidade, Correntes, nutrientes, sedimentos, biologia",EU,Global,,União Européia,About us - SeaDataNet,,,,
SiBBr,Sistema de Informação sobre a Biodiversidade Brasileira,Agregador,Ativo,Nao,Sim,,Não,"Processo de consulta através de mapa ou filtros. Única referência a “API”, nos detalhes de um registro, não aparenta seguir qualquer padrão. Um dos registros redirecionava a API para um site australiano (ala.org.au)","Repositório, Portal de Dados",Portal Web,"Plataforma nacional para organização, armazenagem e disponibilização de dados sobre biodiversidade e ecossistemas do Brasil.",Biológica,"Registros de ocorrência de fauna e flora, metadados de biodiversidade",MCTI,Nacional,,Brasil,https://collectory.sibbr.gov.br/collectory/?lang=pt_BR,OBIS Brazil esta disponibilizado pelo SIBBr,,,"As informações pessoais fornecidas pelos usuários registrados no SiBBr são regidas pela Lei 13.709, de agosto de 2018– Lei Geral de Proteção de Dados Pessoais. Os usuários devem citar a página do SiBBr, além do publicador de dados, de acordo com a licença associada ao conjunto de dados."
SIMCosta,Sistema de Monitoramento da Costa Brasileira,Agregador e Provedor,Ativo,Parciamente,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"O “Sistema de Monitoramento da Costa Brasileira (SiMCosta)” é uma rede integrada de plataformas flutuantes ou fixas, dotadas de instrumentos e sensores, com funcionamento autônomo e capacidade de coletar regularmente variáveis oceanográficas e meteorológicas, transmitindo-as para uma central de processamento na FURG e, imediatamente disponibilizando gratuitamente os dados processados ao público alvo.",Física,"Radiação solar, Vento, Temperatura do ar, umidade relativa, pressão atmosférica e concentração de CO2. Pressão, condutividade, Temperatura, fluorescência, pH, turbidez, matéria orgânica dissolvida colorida, Correntes, ondas e nível do mar.",FURG,Nacional,,Brasil,https://simcosta.furg.br/home,,,,
SIMMAM,Sistema de Apoio ao Monitoramento de Mamíferos Marinhos,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,Os dados cadastrados no SIMMAM são feitos por instituições que trabalham com pesquisa ou conservação de mamíferos aquáticos e que são usuários cadastrado no sistema. Além disso dados existentes na literatura científica também são inseridos no sistema e podem ser visualizados no mesmo mapa.,Biológica,"Encalhes, capturas acidentais, avistamentos, material biologico, taxonomia, parametros ambientais",UNIVALI,Nacional,,Brasil,https://simmam.acad.univali.br/,,,,
SISBia,Sistema de Gestão de Dados de Biodiversidade para Avaliação de Impacto Ambiental,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"O registro no SISBia torna-se obrigatório para estudos e relatórios ambientais gerados a partir de termos de referência, licenças ou autorizações emitidas após 11 de agosto de 2025, e para todos os estudos protocolados no Ibama após um ano dessa data. Relatórios anteriores podem ser inseridos voluntariamente ou por exigência do Ibama. O sistema contará com API para importação de dados de outros bancos. O responsável pela atividade deve realizar o registro e anexar o recibo emitido pelo SISBia aos estudos protocolados no Ibama. A aceitação de relatórios pelo órgão dependerá da comprovação de inserção dos dados no sistema. O Ibama disponibilizará orientações e manual de uso em seu site. Os dados cadastrados serão de uso público, com acesso e reutilização permitidos, salvo restrições legais.",Biológica,Multi-temáticos,MMA,Nacional,,Brasil,https://sicae.sisicmbio.icmbio.gov.br/usuario-externo/login,,,,
SISBIO ,Sistema de Autorização e Informação em Biodiversidade,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"Banco de dados gerenciado pelo ICMBio para autorizar e registrar pesquisas científicas, didáticas e de manejo que envolvam material biológico ou se realizem em unidades de conservação federais e cavidades naturais, além de permitir o acompanhamento da biodiversidade no Brasil",Biológica,"Ocorrência e distribuicao de especies.  Dados genéticos, relatorios de projetos, autorizações e licenças, ",ICMBio,Nacional,,Brasil,https://sicae.sisicmbio.icmbio.gov.br/usuario-externo/login,,,,
SisRGP,Sistema Informatizado do Registro Geral da Atividade Pesqueira,Provedor,Indefinido,Nao,Parcialmente,Com login gov.br,Não,,"Repositório, Portal de Dados",Portal Web,Contém dados de empresas pesqueiras no Sistema Informatizado do Registro Geral da Atividade Pesqueira (SisRGP),Biológica,Dados de entidades pesqueiras,MPA,Nacional,,Brasil,https://dados.gov.br/dados/conjuntos-dados/base-de-dados-de-registros-de-empresas-pesqueiras,,,,
SISS-geo,Sistema de Informação em Saude Silvestre,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Outros","O SISS-Geo da Fiocruz é uma ferramenta gratuita para web e smartphones que permite monitorar a saúde de animais silvestres em áreas naturais, rurais e urbanas. O sistema apoia a investigação de agentes causadores de doenças e funciona como instrumento de ciência cidadã, permitindo que cidadãos, profissionais e pesquisadores contribuam com registros, promovendo prevenção de zoonoses e conservação da biodiversidade.",Biológica,"Ocorrência de animais silvestres, fotos, informações do animal registrado, variaveis ambientais, localização geográfica",FioCRUZ,Nacional,,Brasil,https://sissgeo.lncc.br/apresentacao.xhtml,,,,
SOCAT,Surface Ocean CO₂ Atlas,Agregador,Ativo,Nao,Sim,,Não,"Embora não possua API de forma explícita, a consulta manual dos dados permite retornar uma URL de acesso aos registros, com parâmetros como datas e IDs, viabilizando a integração","Repositório, Portal de Dados",Portal Web,"O Surface Ocean CO₂ Atlas (SOCAT) é uma iniciativa de síntese de observações de fCO₂ (fugacidade do dióxido de carbono) na superfície oceânica, realizadas pela comunidade internacional de pesquisa em carbono marinho (>100 colaboradores). Os dados do SOCAT são públicos, acessíveis e passíveis de citação.","Física, Química",fCO₂ da superfície oceânica,Marine Carbon Community,Global,,Internacional,https://app.hubocean.earth/catalog/dataset/88dc7aff-c1d7-4021-9712-b28c8eccc50b/pgs-physics-data-ctd-profiles-raw-files https://socat.info/index.php/version-2025/,,,,
SpeciesLink,SpeciesLink,Agregador,Ativo,Nao,Sim,,Indefinido,,"Repositório, Catálogo",Portal Web,"Registro taxonômico de espécies de fauna e flora, integrando dados de diversas instituições.",Biológica,"Espécies, táxons, sinônimos, status taxonômico",CRIA,Global,,Brasil,https://specieslink.net/,,,,
SWST,State of the world's sea turtles,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"Plataforma colaborativa que reúne dados globais sobre o estado de conservação das tartarugas marinhas, incluindo distribuição, ameaças, esforços de manejo e tendências populacionais.",Biológica,"Ocorrência, habitats, ameaças, conservação",SWOT Network,Global,,Internacional,https://www.seaturtlestatus.org,,,,
WCMC,UNEP World Conservation Monitoring Centre Ocean Data Viewer,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, API","Plataforma do UNEP-WCMC que disponibiliza conjuntos de dados geoespaciais sobre áreas marinhas protegidas, habitats críticos, biodiversidade e serviços ecossistêmicos.",Biológica,"Áreas marinhas protegidas, habitats, biodiversidade",UNEP,Global,,Internacional,https://data.unep-wcmc.org,,,,
WOA,World Ocean Atlas,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, Outros","O World Ocean Atlas (WOA) é um conjunto de dados climatológicos globais que fornece médias mensais, sazonais e anuais de variáveis oceanográficas derivadas de observações in situ. É amplamente utilizado em modelagem oceânica, estudos climáticos e calibração de sensores.",Física,"Temperatura, Salinidade, Oxigênio Dissolvido, Percentual de Saturação de Oxigênio, Utilização Aparente de Oxigênio, Silicato, Fosfato, Nitrato",NOAA,Global,,USA,https://www.ncei.noaa.gov/products/world-ocean-atlas,,,,
WOD,World Ocean Database,Agregador,Ativo,Nao,Sim,,Sim,Possui API documentada,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, Outros","O World Ocean Database (WOD) é a maior coleção mundial de perfis oceanográficos históricos e contemporâneos, padronizados e com controle de qualidade. Inclui medições coletadas desde o século XVIII até hoje, provenientes de navios, boias e programas como Argo.",Física,"Temperatura, Salinidade, Oxigênio Dissolvido, Nutrientes, Clorofila, Dados Biogeoquímicos",NOAA,Global,,USA,https://www.ncei.noaa.gov/access/world-ocean-database-select/dbsearch.html,,,,
WoRMS,World Register of Marine Species,Agregador,Ativo,Nao,Sim,,Sim,,Catálogo,"Portal Web, API","O World Register of Marine Species (WoRMS) é o registro taxonômico mais completo de espécies marinhas, com informações atualizadas sobre nomes válidos, sinônimos e classificação hierárquica. Visa garantir consistência na nomenclatura científica e apoiar pesquisas de biodiversidade.",Biológica,"Espécies marinhas, táxons, sinônimos, status taxonômico",VLIZ,Global,,Internacional,http://www.marinespecies.org/index.php,,,,
Zenodo,Zenodo,Agregador,Ativo,Nao,Sim,,Sim,,"Catálogo, Repositório, Portal de Dados","Portal Web, API","Repositório aberto mantido pelo CERN para o compartilhamento de publicações, datasets, softwares e outros produtos científicos. Permite atribuição de DOI e controle de versões.","Geológica, Física, Química, Biológica, Social",Multi-temáticos,CERN,Global,,União Européia,https://zenodo.org/,,,,
